window_start,Bathroom,Bedroom,DiningRoom,Kitchen,LivingRoom,OutsideDoor,total_events,n_sensors_active,tod_sin,tod_cos,dow,is_inactive,cluster,is_anomaly,anomaly_score
2012-07-20 11:00:00,35.0,160.0,73.0,201.0,976.0,151.0,1596.0,6.0,0.258819045102521,-0.9659258262890682,4,0,1,True,-0.1062341707377358
2012-10-24 13:00:00,42.0,2.0,60.0,540.0,260.0,78.0,982.0,6.0,-0.2588190451025208,-0.9659258262890684,2,0,1,True,-0.1034508922047945
2012-09-06 11:00:00,0.0,28.0,28.0,839.0,150.0,70.0,1115.0,5.0,0.258819045102521,-0.9659258262890682,3,0,1,True,-0.0958049516235296
2013-01-17 10:00:00,235.0,130.0,90.0,238.0,40.0,30.0,763.0,6.0,0.4999999999999999,-0.8660254037844387,3,0,1,True,-0.0898525160548285
2012-10-04 13:00:00,28.0,280.0,108.0,4.0,304.0,20.0,744.0,6.0,-0.2588190451025208,-0.9659258262890684,3,0,1,True,-0.0831694687083123
2012-10-17 17:00:00,8.0,0.0,180.0,230.0,372.0,30.0,820.0,5.0,-0.9659258262890684,-0.2588190451025206,2,0,1,True,-0.0801103201520335
2013-04-28 19:00:00,0.0,286.0,32.0,242.0,174.0,16.0,750.0,5.0,-0.9659258262890684,0.2588190451025203,6,0,1,True,-0.0744463434371625
2012-11-12 09:00:00,358.0,242.0,16.0,288.0,98.0,16.0,1018.0,6.0,0.7071067811865476,-0.7071067811865475,0,0,4,True,-0.072337429169069
2013-02-11 12:00:00,316.0,284.0,108.0,76.0,114.0,6.0,904.0,6.0,1.2246467991473532e-16,-1.0,0,0,4,True,-0.0690636955791211
2012-10-07 12:00:00,134.0,64.0,32.0,348.0,126.0,26.0,730.0,6.0,1.2246467991473532e-16,-1.0,6,0,1,True,-0.0666385470988804
2013-03-24 13:00:00,0.0,0.0,30.0,544.0,98.0,28.0,700.0,4.0,-0.2588190451025208,-0.9659258262890684,6,0,1,True,-0.0654220751060686
2013-05-12 10:00:00,344.0,278.0,32.0,236.0,78.0,4.0,972.0,6.0,0.4999999999999999,-0.8660254037844387,6,0,4,True,-0.0650751389701431
2012-11-20 20:00:00,108.0,10.0,50.0,402.0,102.0,8.0,680.0,6.0,-0.8660254037844386,0.5000000000000001,1,0,1,True,-0.0647810097929116
2013-02-17 14:00:00,24.0,302.0,40.0,250.0,126.0,22.0,764.0,6.0,-0.4999999999999997,-0.8660254037844388,6,0,1,True,-0.0642111614551521
2012-12-20 13:00:00,0.0,0.0,36.0,460.0,136.0,30.0,662.0,4.0,-0.2588190451025208,-0.9659258262890684,3,0,1,True,-0.0641229361854518
2012-09-07 09:00:00,138.0,756.0,4.0,8.0,146.0,80.0,1132.0,6.0,0.7071067811865476,-0.7071067811865475,4,0,4,True,-0.0633199854905433
2013-05-01 13:00:00,40.0,32.0,126.0,356.0,132.0,16.0,702.0,6.0,-0.2588190451025208,-0.9659258262890684,2,0,1,True,-0.0611290345069651
2013-05-11 12:00:00,78.0,16.0,62.0,354.0,126.0,18.0,654.0,6.0,1.2246467991473532e-16,-1.0,5,0,1,True,-0.0609949283731434
2012-10-03 20:00:00,0.0,12.0,30.0,318.0,236.0,16.0,612.0,5.0,-0.8660254037844386,0.5000000000000001,2,0,1,True,-0.0606846952661283
2012-09-06 10:00:00,224.0,142.0,8.0,264.0,232.0,54.0,924.0,6.0,0.4999999999999999,-0.8660254037844387,3,0,4,True,-0.0591847906062957
2012-07-22 10:00:00,197.0,266.0,68.0,130.0,130.0,4.0,795.0,6.0,0.4999999999999999,-0.8660254037844387,6,0,4,True,-0.058990987619964
2013-04-17 10:00:00,326.0,252.0,96.0,14.0,136.0,7.0,831.0,6.0,0.4999999999999999,-0.8660254037844387,2,0,4,True,-0.0554070644642904
2013-03-28 10:00:00,62.0,102.0,42.0,90.0,367.0,26.0,689.0,6.0,0.4999999999999999,-0.8660254037844387,3,0,1,True,-0.0542221209731235
2012-10-09 21:00:00,0.0,26.0,70.0,330.0,158.0,2.0,586.0,5.0,-0.7071067811865477,0.7071067811865474,1,0,1,True,-0.0535047386278857
2013-04-15 11:00:00,250.0,100.0,182.0,4.0,68.0,8.0,612.0,6.0,0.258819045102521,-0.9659258262890682,0,0,1,True,-0.0533927092273387
2013-05-29 15:00:00,32.0,100.0,28.0,170.0,238.0,40.0,608.0,6.0,-0.7071067811865471,-0.7071067811865479,2,0,1,True,-0.0532233987950463
2013-04-21 14:00:00,28.0,4.0,32.0,492.0,122.0,20.0,698.0,6.0,-0.4999999999999997,-0.8660254037844388,6,0,1,True,-0.0527820012667467
2012-09-17 12:00:00,54.0,1040.0,0.0,0.0,134.0,50.0,1278.0,4.0,1.2246467991473532e-16,-1.0,0,0,4,True,-0.0523359880858004
2013-06-08 12:00:00,0.0,4.0,16.0,458.0,130.0,40.0,648.0,5.0,1.2246467991473532e-16,-1.0,5,0,1,True,-0.0522290532936654
2013-07-01 12:00:00,112.0,18.0,18.0,370.0,124.0,32.0,674.0,6.0,1.2246467991473532e-16,-1.0,0,0,1,True,-0.0501677288289953
